Country,ISO3c,Category,Origin,Destination,Organism,System,Product,Pressure,Value
Afghanistan,AFG,farm,land,land,oilp,crop,produce,ghg,0
Afghanistan,AFG,farm,land,land,oilp,crop,produce,nutrient,0
Afghanistan,AFG,farm,land,land,oilp,crop,produce,water,0
Afghanistan,AFG,farm,land,land,orts,crop,produce,disturbance,0
Afghanistan,AFG,farm,land,land,orts,crop,produce,ghg,0
Afghanistan,AFG,farm,land,land,orts,crop,produce,nutrient,0
Afghanistan,AFG,farm,land,land,orts,crop,produce,water,0
Afghanistan,AFG,farm,land,land,pigs,backyard,meat,disturbance,0.000171903
Afghanistan,AFG,farm,land,land,pigs,backyard,meat,ghg,5.590710743
Afghanistan,AFG,farm,land,land,pigs,backyard,meat,nutrient,0
Afghanistan,AFG,farm,land,land,pigs,backyard,meat,water,151.9602251
Afghanistan,AFG,farm,land,land,pigs,industrial,meat,disturbance,0
Afghanistan,AFG,farm,land,land,pigs,industrial,meat,ghg,0
Afghanistan,AFG,farm,land,land,pigs,industrial,meat,nutrient,0
Afghanistan,AFG,farm,land,land,pigs,industrial,meat,water,0
Afghanistan,AFG,farm,land,land,pigs,intermediate,meat,disturbance,0.000170907
Afghanistan,AFG,farm,land,land,pigs,intermediate,meat,ghg,12.5443015
Afghanistan,AFG,farm,land,land,pigs,intermediate,meat,nutrient,0
Afghanistan,AFG,farm,land,land,pigs,intermediate,meat,water,633.4545987
Afghanistan,AFG,farm,land,land,plnt,crop,produce,disturbance,0
Afghanistan,AFG,farm,land,land,plnt,crop,produce,ghg,0
Afghanistan,AFG,farm,land,land,plnt,crop,produce,nutrient,0
Afghanistan,AFG,farm,land,land,plnt,crop,produce,water,0
Afghanistan,AFG,farm,land,land,pota,crop,produce,disturbance,214.1309998
Afghanistan,AFG,farm,land,land,pota,crop,produce,ghg,33526.92851
Afghanistan,AFG,farm,land,land,pota,crop,produce,nutrient,110.0898714
Afghanistan,AFG,farm,land,land,pota,crop,produce,water,88866394.41
Afghanistan,AFG,farm,land,land,rice,crop,produce,disturbance,1583.926024
Afghanistan,AFG,farm,land,land,rice,crop,produce,ghg,564357.3782
Afghanistan,AFG,farm,land,land,rice,crop,produce,nutrient,5841.629629
Afghanistan,AFG,farm,land,land,rice,crop,produce,water,700082431.4
Afghanistan,AFG,farm,land,land,sheep,grassland,meat,disturbance,0
