"iso3c","organism","pressure","pressure_value","tonnes","pressure_per_tonne"
"ABW","benthic","disturbance",4.86148951109499,133.396205527075,0.0364439864828708
"ABW","benthic","ghg",1042.78237819672,133.396205527075,7.81718171125237
"ABW","demersal","disturbance",41.8988908387555,918.088008569773,0.0456371180623816
"ABW","demersal","ghg",2084.98031362212,918.088008569773,2.27100266440705
"ABW","forage-fish","disturbance",53.237539605283,1491.91289168518,0.035684080419165
"ABW","forage-fish","ghg",920.298033425701,1491.91289168518,0.616857752590491
"ABW","large-pelagic","disturbance",3.09655815735726,77.6584467387331,0.0398740676307245
"ABW","large-pelagic","ghg",328.244478166782,77.6584467387331,4.22677109769008
"ABW","medium-pelagic","disturbance",3.33729960571691,96.4948329292559,0.0345852674636331
"ABW","medium-pelagic","ghg",391.541078569208,96.4948329292559,4.05763776860738
"ABW","reef","disturbance",3.24299233593047,88.2839027076091,0.0367336766553135
"ABW","reef","ghg",390.273970365524,88.2839027076091,4.42066966226094
"ABW","small-pelagic","disturbance",0.00336153202442801,0.0976985420315062,0.0344071871957308
"ABW","small-pelagic","ghg",0.0218726884049829,0.0976985420315062,0.223879373736502
"AFG","bana","disturbance",0.197483107447624,496.256778617966,0.000397945410433683
"AFG","bana","ghg",0.512680232524872,496.256778617966,0.00103309466916027
"AFG","bana","nutrient",0.0170645341277122,496.256778617966,3.43865008257127e-05
"AFG","bana","water",407308.90625,496.256778617966,820.762403254866
"AFG","barl","disturbance",1984.37266984588,98529.3447120827,0.0201399154297079
"AFG","barl","ghg",35581.8898929649,98529.3447120827,0.361129874525609
"AFG","barl","nutrient",475.915659166189,98529.3447120827,0.00483019206670748
"AFG","barl","water",176642287.723527,98529.3447120827,1792.78861784478
"AFG","chickens","disturbance",649.853457721013,47518,0.013675942963109
"AFG","chickens","ghg",114230.840644547,47518,2.40394883295902
"AFG","chickens","nutrient",4190.88846653585,47518,0.0881958093045971
"AFG","chickens","water",158083507.733059,47518,3326.81315991959
"AFG","cows","disturbance",275.787859066214,1932414.96,0.000142716685999064
"AFG","cows","ghg",8122532.66375876,1932414.96,4.20330665612253
"AFG","cows","nutrient",90333.4850521718,1932414.96,0.046746421923877
"AFG","cows","water",161062047.584894,1932414.96,83.3475474568329
"AFG","freshwater-fish","disturbance",400.553864090714,940.956681685795,0.425687889662563
"AFG","goats","disturbance",76.2731382495246,170284.09,0.000447916997116551
"AFG","goats","ghg",1185481.40860411,170284.09,6.96178608702732
"AFG","goats","nutrient",61173.8193162022,170284.09,0.359245654225255
"AFG","goats","water",30256644.5724394,170284.09,177.683332438394
"AFG","maiz","disturbance",1131.51467076555,188211.028293968,0.0060119467016472
"AFG","maiz","ghg",109183.708736136,188211.028293968,0.580113236327473
"AFG","maiz","nutrient",2596.98156461725,188211.028293968,0.0137982433237706
"AFG","maiz","water",573488239.996246,188211.028293968,3047.04907674438
"AFG","ocer","disturbance",0.0202630720450543,20.8164002170148,0.000973418642695569
"AFG","ocer","ghg",0.944641474634409,20.8164002170148,0.0453796749095112
"AFG","ocer","nutrient",0.0110128100204747,20.8164002170148,0.000529044883152906
"AFG","ocer","water",3516.30412292481,20.8164002170148,168.919894230832
"AFG","pota","disturbance",214.130999781774,547134.065306723,0.000391368429347809
"AFG","pota","ghg",33526.9285140224,547134.065306723,0.0612773552954105
"AFG","pota","nutrient",110.089871373144,547134.065306723,0.000201211875395526
"AFG","pota","water",88866394.4149103,547134.065306723,162.421607517879
"AFG","rice","disturbance",1583.92602406209,341285.785495584,0.00464105477396916
"AFG","rice","ghg",564357.378161907,341285.785495584,1.65362110625967
"AFG","rice","nutrient",5841.62962924875,341285.785495584,0.0171165336428122
"AFG","rice","water",700082431.379898,341285.785495584,2051.30849608431
"AFG","sheep","disturbance",128.399166918692,341145.59,0.000376376452407584
"AFG","sheep","ghg",2220367.60344489,341145.59,6.50856311361049
"AFG","sheep","nutrient",90417.5870651506,341145.59,0.265041054950031
"AFG","sheep","water",72413929.1968074,341145.59,212.266936227455
"AFG","sorg","disturbance",0.00963730140938423,2.08232398419275,0.00462814695625777
"AFG","sorg","ghg",0.238094474188983,2.08232398419275,0.11434074428206
"AFG","sorg","nutrient",0.00358885772584471,2.08232398419275,0.00172348671632671
"AFG","sorg","water",77.705206155777,2.08232398419275,37.3165783738023
"AFG","spis","disturbance",117.182347854745,18847.9932943862,0.00621723204292773
"AFG","spis","ghg",45994.9875391126,18847.9932943862,2.44031217651229
"AFG","spis","nutrient",1400.87408597115,18847.9932943862,0.0743248400023783
"AFG","spis","water",159955358.286203,18847.9932943862,8486.59885367454
"AFG","sugc","disturbance",30.4886626871303,37485.9945351481,0.000813334768497154
"AFG","sugc","ghg",7498.52155386657,37485.9945351481,0.200035283760064
"AFG","sugc","nutrient",197.060489237309,37485.9945351481,0.00525690972537858
"AFG","sugc","water",2159078.54652405,37485.9945351481,57.5969391581601
"AFG","tnut","disturbance",235.048652109748,37805.9962367602,0.00621723206651546
"AFG","tnut","ghg",86928.1541638225,37805.9962367602,2.299321875277
"AFG","tnut","nutrient",2685.16346472036,37805.9962367602,0.0710248037878572
"AFG","tnut","water",284004486.77354,37805.9962367602,7512.1545533402
"AFG","vege","disturbance",665.495000076131,609325.554563552,0.00109218298016864
"AFG","vege","ghg",165512.602578759,609325.554563552,0.271632465336716
"AFG","vege","nutrient",4922.68862870336,609325.554563552,0.00807891379548225
"AFG","vege","water",376141067.068455,609325.554563552,617.307224768994
"AFG","whea","disturbance",20772.719770467,4118195.4967039,0.00504413153457455
